ID_POSLA,DEJANSKA_RABA_DELA_STAVBE,OBCINA,IME_KO,NASELJE,E_CENTROID,N_CENTROID,DATUM_UVELJAVITVE,POGODBENA_CENA_ODSKODNINA,POVRSINA,CENA_M2,STEVILO_SOB,NADSTROPJE_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE
431232,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ŠTEPANJA VAS,LJUBLJANA,464731.65,100815.46,17.06.2019,75000.0,27.0,2777.777777777778,1.0,14.0,1977
431462,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,459298.68,103597.39,17.06.2019,190000.0,85.5,2222.222222222222,3.0,2.0,1974
431467,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,VIČ,LJUBLJANA,459916.01,100496.49,17.06.2019,132000.0,43.8,3013.6986301369866,2.0,1.0,2009
431550,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460592.24,103253.13,17.06.2019,63019.0,50.9,1238.0943025540275,2.0,,1935
434857,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DRAVLJE,LJUBLJANA,459509.26,104464.0,15.07.2019,100000.0,37.4,2673.7967914438505,1.0,4.0,1986
434865,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,TRNOVSKO PREDMESTJE,LJUBLJANA,461369.18,100209.27,15.07.2019,93808.63,34.3,2734.945481049563,1.0,5.0,1981
434903,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,463049.39,102715.86,15.07.2019,159000.0,44.4,3581.0810810810813,1.0,2.0,1946
434585,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DRAVLJE,LJUBLJANA,458688.84,104492.6,15.07.2019,163000.0,66.3,2458.5218702865764,3.0,1.0,1975
434135,"1110003 - Stanovanje, ki se nahaja v vmesni vrstni hiši",LJUBLJANA,TRNOVSKO PREDMESTJE,LJUBLJANA,460984.96,99650.19,15.07.2019,397485.0,90.0,4416.5,4.0,,1968
413797,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DRAVLJE,LJUBLJANA,459094.93,105136.53,13.02.2019,95000.0,32.4,2932.098765432099,1.0,,1982
414188,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,JEŽICA,LJUBLJANA,461974.14,105620.5,13.02.2019,84000.0,26.1,3218.390804597701,1.0,5.0,1978
413580,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SLAPE,LJUBLJANA,467253.18,101792.23,13.02.2019,110000.0,41.3,2663.438256658596,1.0,2.0,1965
415192,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SLAPE,LJUBLJANA,466257.42,101493.91,13.02.2019,153000.0,61.6,2483.7662337662337,3.0,9.0,1986
415463,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,STOŽICE,LJUBLJANA,462729.21,104568.9,13.02.2019,125000.0,51.3,2436.647173489279,2.0,1.0,1978
414882,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SLAPE,LJUBLJANA,467253.18,101792.23,13.02.2019,113500.0,54.0,2101.8518518518517,2.0,3.0,1965
412180,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,NOVE JARŠE,LJUBLJANA,465067.3,103007.67,04.02.2019,104000.0,36.4,2857.1428571428573,2.0,12.0,1970
413924,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462568.95,103423.44,13.02.2019,94000.0,36.7,2561.3079019073566,1.0,2.0,1960
414068,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460517.16,103271.48,13.02.2019,167000.0,65.3,2557.4272588055132,3.0,5.0,1964
414171,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,GLINCE,LJUBLJANA,457804.22,104458.18,13.02.2019,185000.0,32.1,5763.239875389408,1.0,3.0,1991
414184,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,KAŠELJ,LJUBLJANA,468566.92,101205.55,13.02.2019,135000.0,42.1,3206.6508313539193,1.0,1.0,1969
414224,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462303.03,103111.3,13.02.2019,140000.0,60.2,2325.5813953488373,2.0,1.0,1920
429309,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DRAVLJE,LJUBLJANA,459798.15,104130.12,17.06.2019,79000.0,23.6,3347.457627118644,1.0,4.0,1970
429310,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DRAVLJE,LJUBLJANA,458570.76,104346.6,17.06.2019,105000.0,46.6,2253.2188841201714,2.0,1.0,1974
429383,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SPODNJA ŠIŠKA,LJUBLJANA,461152.37,102592.4,17.06.2019,272000.0,67.7,4017.725258493353,0.0,,2018
429387,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BRINJE I,LJUBLJANA,462704.39,104255.26,17.06.2019,100000.0,41.5,2409.6385542168673,1.0,3.0,1976
431112,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ŠTEPANJA VAS,LJUBLJANA,464365.56,101081.58,17.06.2019,74000.0,19.7,3756.345177664975,1.0,2.0,1977
431126,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SLAPE,LJUBLJANA,467284.45,101781.33,17.06.2019,153500.0,54.1,2837.3382624768947,2.0,,1965
